productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
S12_3148,1969 Corvair Monza,Classic Cars,1:18,Welly Diecast Productions,1:18 scale die-cast about 10 long doors open, hood opens," trunk opens and wheels roll""",6906
S12_3380,1968 Dodge Charger,Classic Cars,1:12,Welly Diecast Productions,"1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black",9123,75.16,117.44
S12_3891,1969 Ford Falcon,Classic Cars,1:12,Second Gear Diecast,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1049,83.05,173.02
S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,1:12,Studio M Art Models,Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.,5663,31.92,79.8
S12_4473,1957 Chevy Pickup,Trucks and Buses,1:12,Exoto Designs,1:12 scale die-cast about 20 long Hood opens," Rubber wheels""",6125,55.7
S12_4675,1969 Dodge Charger,Classic Cars,1:12,Welly Diecast Productions,Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.,7323,58.73,115.16
S18_1097,1940 Ford Pickup Truck,Trucks and Buses,1:18,Studio M Art Models,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",2613,58.33,116.67
S18_1129,1993 Mazda RX-7,Classic Cars,1:18,Highway 66 Mini Classics,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.",3975,83.51,141.54
S18_1342,1937 Lincoln Berline,Vintage Cars,1:18,Motor City Art Classics,"Features opening engine cover, doors, trunk, and fuel filler cap. Color black",8693,60.62,102.74
S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,1:18,Studio M Art Models,"This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.",8635,24.26,53.91
S18_1749,1967 Shelby GT500,Classic Cars,, Shelby Automotive,"Features detailed engine, removable hood, and authentic Shelby logos.",6791,103.42,147.74
S18_2248,1965 Ford Mustang GT,Classic Cars,, Ford Motor Company,"Detailed interior, working steering, and classic Mustang design.",68,95.34,194.57
S18_4409,1971 Pontiac GTO,Classic Cars,, Pontiac Models,"Accurate scale model with open doors, hood, and detailed engine.",3619,95.59,207.8
S24_3969,1963 Corvette Stingray,Classic Cars,, Chevrolet Diecast,"Includes opening hood, detailed interior, and working steering.",1579,77.9,136.67
S18_2325,1954 Mercedes-Benz 300SL,Classic Cars,, Mercedes-Benz Collectibles,"Features gullwing doors, detailed engine, and high-quality paint finish.",9997,66.27,150.62
S18_2795,1971 Dodge Challenger,Classic Cars,, Dodge Diecast,"Detailed interior, working steering, and classic muscle car design.", hood opens," trunk opens and wheels roll""",6906
S24_1937,1968 Camaro Z/28,Classic Cars,, Chevrolet Diecast,"Includes detailed engine, working doors, and accurate Z/28 styling.",9123,75.16,117.44
S24_2022,1973 Plymouth Barracuda,Classic Cars,, Plymouth Collectibles,"Features open doors and hood, detailed interior, and accurate paint job.",1049,83.05,173.02
S18_2432,1969 Chevrolet Chevelle SS,Classic Cars,, Chevrolet Models,"Detailed engine, working doors, and classic muscle car features.",5663,31.92,79.8
S18_2949,1959 Cadillac Eldorado,Classic Cars,, Cadillac Diecast,"Features include opening doors, detailed interior, and chrome accents.",7933,48.81,95.7
S18_2957,1972 De Tomaso Pantera,Classic Cars,, De Tomaso Models,"Accurate model with detailed interior, working doors, and striking design.",7305,98.58,214.3
S18_3136,1966 Ferrari 275 GTB,Classic Cars,, Ferrari Collectibles,"Features a detailed engine, opening doors, and authentic Ferrari styling.",6625,68.99,118.94
S18_3320,1956 Ford Thunderbird,Classic Cars,, Ford Diecast,"Includes working doors, detailed interior, and classic Thunderbird design.",5582,91.02,193.66
S18_4600,1970 Dodge Charger R/T,Classic Cars,, Dodge Model,"Detailed engine, open hood, and classic muscle car features.",3252,85.68,136
